equipmentId,chuckTemp,processPressure,recipeName,lotId,alarmCode
185,36.20,12.860,ETCH-A,LOT-E085,0
186,36.28,12.895,ETCH-B,LOT-E086,0
187,36.36,12.930,ETCH-C,LOT-E087,0
188,36.44,12.965,ETCH-D,LOT-E088,3
189,36.52,13.000,ETCH-E,LOT-E089,0
190,36.60,13.035,ETCH-A,LOT-E090,0
191,36.68,13.070,ETCH-B,LOT-E091,0
192,36.76,12.300,ETCH-C,LOT-E092,0
193,36.84,12.335,ETCH-D,LOT-E093,0
194,36.92,12.370,ETCH-E,LOT-E094,0
195,37.00,12.405,ETCH-A,LOT-E095,0
196,37.08,12.440,ETCH-B,LOT-E096,0
197,37.16,12.475,ETCH-C,LOT-E097,0
198,37.24,12.510,ETCH-D,LOT-E098,0
199,37.32,12.545,ETCH-E,LOT-E099,2
200,37.40,12.580,ETCH-A,LOT-E100,0
201,37.48,12.615,ETCH-B,LOT-E101,0
202,36.20,12.650,ETCH-C,LOT-E102,0
203,36.28,12.685,ETCH-D,LOT-E103,0
204,36.36,12.720,ETCH-E,LOT-E104,0
205,36.44,12.755,ETCH-A,LOT-E105,0
206,36.52,12.790,ETCH-B,LOT-E106,0
207,36.60,12.825,ETCH-C,LOT-E107,0
208,36.68,12.860,ETCH-D,LOT-E108,0
209,36.76,12.895,ETCH-E,LOT-E109,0
210,36.84,12.930,ETCH-A,LOT-E110,3
211,36.92,12.965,ETCH-B,LOT-E111,0
212,37.00,13.000,ETCH-C,LOT-E112,0
213,37.08,13.035,ETCH-D,LOT-E113,0
214,37.16,13.070,ETCH-E,LOT-E114,0
215,37.24,12.300,ETCH-A,LOT-E115,0
216,37.32,12.335,ETCH-B,LOT-E116,0
217,37.40,12.370,ETCH-C,LOT-E117,0
218,37.48,12.405,ETCH-D,LOT-E118,0
219,36.20,12.440,ETCH-E,LOT-E119,0
220,36.28,12.475,ETCH-A,LOT-E120,0
